"ID","Nivel","Tema","Enunciado","A","B","C","D","Gabarito"
"1","Basico","Structs","Qual e' a principal diferenca entre um vetor comum e uma Struct (Estrutura) em C?","O vetor pode crescer sozinho e a Struct tem tamanho fixo.","O vetor armazena dados homogeneos e a Struct armazena dados heterogeneos.","A Struct so' aceita numeros inteiros e o vetor aceita qualquer tipo.","Vetores rodam na memoria Stack e as Structs rodam exclusivamente no Heap.","B"
"2","Basico","Structs","Para acessar um membro ou campo especifico de uma variavel do tipo Struct, qual operador deve ser utilizado?","O operador de seta (->)","O operador de ponto (.)","O operador de asterisco (*)","O operador comercial (&)","B"
"3","Basico","Structs","Para que serve a palavra-chave 'typedef' ao criar uma estrutura em C?","Para permitir que a estrutura armazene arquivos binarios.","Para obrigar o compilador a limpar a memoria da estrutura automaticamente.","Para criar um novo tipo de dado e evitar ter que digitar a palavra 'struct' toda vez.","Para transformar funcoes normais em funcoes recursivas.","C"
"4","Basico","Funcoes","Se uma funcao foi declarada com o tipo de retorno 'void', o que isso significa?","Que ela retorna um ponteiro nulo para a funcao main.","Que ocorreu um erro critico e a funcao foi anulada pelo sistema.","Que ela nao retorna nenhum valor para quem a chamou.","Que ela so' pode receber parametros por referencia.","C"
"5","Basico","Parametros","Na passagem de parametros por COPIA para uma funcao, o que acontece se modificarmos a variavel dentro da funcao?","A variavel original na funcao main tambem sera' modificada.","O programa da' erro de compilacao imediatamente.","Apenas a copia local e' modificada, e a variavel original permanece intacta.","A variavel e' apagada da memoria RAM.","C"
"6","Basico","Ponteiros","O que e' um Ponteiro na linguagem C?","Uma funcao especial executada por linha de comando.","Uma variavel que armazena o endereco de memoria de outra variavel.","O caractere que indica o fim de uma string.","Um arquivo de cabecalho que guarda os Includes do programa.","B"
"7","Basico","Ponteiros","Considerando que 'ptr' e' um ponteiro valido que aponta para uma variavel inteira, o que o operador asterisco faz na expressao '*ptr = 20;'?","Multiplica o valor guardado no ponteiro por 20.","Descobre o endereco de memoria de ptr.","Acessa e modifica diretamente o conteudo do endereco apontado por ptr.","Aloca dinamicamente 20 bytes de memoria.","C"
"8","Basico","Recursividade","O que define uma funcao como sendo RECURSIVA?","Uma funcao que recebe ponteiros como parametros.","Uma funcao que e' importada de uma biblioteca externa.","Uma funcao que chama a si mesma dentro do seu proprio codigo.","Uma funcao que nao possui a instrucao 'return'.","C"
"9","Basico","Recursividade","O que e' o 'Caso Base' em um algoritmo recursivo e qual a sua importancia?","E' a primeira linha da funcao main que inicializa os ponteiros.","E' a condicao de parada da recursao, crucial para evitar loop infinito.","E' o calculo matematico mais complexo feito pela funcao.","E' a biblioteca padrao que variavel usa.","B"
"10","Medio","Alocacao Dinamica","Em qual regiao da memoria os dados criados atraves de Alocacao Dinamica (malloc/realloc) ficam guardados?","Stack (Pilha)","Cache do Processador","Heap","Disco Rigido","C"
